word,count
что,49
это,25
как,19
мне,14
или,11
меня,11
есть,10
подробнее,10
интервью,9
они,9
для,8
нет,8
мои,8
его,8
себя,8
книги,7
очень,7
читатели,7
Марина,6
Анатольевна,6
человек,6
совершенно,6
вас,6
том,6
она,6
так,6
когда,6
все,6
знаю,6
почему,6
Что,5
того,5
пишу,5
чтобы,5
мой,5
нас,5
могу,5
Это,5
если,5
Маринина,4
Детектив,4
Америке,4
Нью,4
ваши,4
уже,4
отношения,4
ней,4
моих,4
преступность,4
только,4
кто,4
еще,4
люди,4
сказать,4
писать,4
написала,4
МВД,4
будет,4
дальше,4
день,4
Спасибо,4
Александра,3
лишь,3
русские,3
иммигранты,3
нравится,3
понять,3
слова,3
тому,3
этим,3
после,3
вопрос,3
Если,3
нужно,3
Все,3
одной,3
этом,3
было,3
момент,3
надо,3
понимают,3
чем,3
России,3
стране,3
книгах,3
три,3
Они,3
ситуации,3
думаете,3
ваших,3
раз,3
обо,3
Мои,3
потому,3
правило,3
себе,3
письма,3
второй,3
критик,3
вопросы,3
думаю,3
между,3
именно,3
плохо,3
преступности,3
без,3
каждый,3
этого,3
многое,3
Ваше,3
повод,2
серьезного,2
разговора,2
читателем,2
объявления,2
Йорк,2
США,2
Флорида,2
Америку,2
газеты,2
работа,2
Йорке,2
снять,2
купить,2
квартиру,2
Мне,2
кабинет,2
пароль,2
Как,2
творчеству,2
явление,2
необходимо,2
эти,2
тираж,2
такого,2
Достоевский,2
какой,2
нибудь,2
смеется,2
ответ,2
пишут,2
цели,2
пишет,2
Ваши,2
мужем,2
значит,2
какие,2
поводу,2
книга,2
решить,2
психологический,2
взгляд,2
них,2
вместе,2
поразмышлять,2
такое,2
помнить,2
любой,2
детектив,2
юмористический,2
рассказ,2
неважно,2
переведены,2
язык,2
речь,2
даже,2
жизни,2
Есть,2
книге,2
говорят,2
читают,2
интересно,2
нашего,2
быта,2
наоборот,2
говорит,2
такие,2
сожалению,2
Нет,2
находясь,2
Вот,2
собой,2
всего,2
Кто,2
интересует,2
детективов,2
много,2
которым,2
который,2
мной,2
Первая,2
никогда,2
такими,2
занимаюсь,2
поскольку,2
которую,2
Сейчас,2
купила,2
которой,2
вне,2
очереди,2
такой,2
своего,2
приятное,2
например,2
муж,2
моя,2
подруга,2
текст,2
всегда,2
вещи,2
сами,2
читаете,2
Манкеля,2
абсолютно,2
вещей,2
были,2
прочла,2
Азазель,2
фильм,2
роман,2
Итак,2
старалась,2
начала,2
журналиста,2
ответы,2
тот,2
извините,2
считают,2
нужным,2
должна,2
говоря,2
буду,2
вообще,2
материалы,2
виду,2
откуда,2
Например,2
Кристи,2
совсем,2
гораздо,2
методики,2
преступников,2
занималась,2
наука,2
раскрывать,2
преступления,2
была,2
случились,2
тогда,2
свой,2
лучший,2
аналитик,2
тоже,2
самом,2
деле,2
вот,2
количество,2
может,2
неделю,2
потом,2
написать,2
две,2
другое,2
теперь,2
Причина,2
преступлений,2
году,2
статья,2
Сегодня,2
ноль,2
либо,2
Ганова,2
Валерия,2
руков,2
клуба,2
Вам,2
творчество,2
клубники,2
Вас,2
обожают,2
РЕМОНТ,2
ДОМА,2
СЕРВИС,2
РАБОТА,2
Русский,1
Базар,1
бесплатные,1
частные,1
подать,1
бесплатное,1
объявление,1
Америка,1
Денвер,1
Калифорния,1
знакомства,1
иммиграция,1
легализация,1
русскоязычне,1
американская,1
пресса,1
комнату,1
продать,1
русскоязычные,1
адвокаты,1
где,1
остановиться,1
Брайтон,1
общежитие,1
гостиница,1
эммигранты,1
виза,1
изменение,1
статуса,1
визы,1
учиться,1
русская,1
америка,1
контакте,1
Вход,1
личный,1
Напомнить,1
Получить,1
Главное,1
Объявления,1
Контакты,1
Архив,1
Поиск,1
сайту,1
Наши,1
Владимир,1
Нузов,1
относились,1
Александры,1
Марининой,1
изъять,1
современной,1
литературы,1
невозможно,1
чему,1
изымать,1
исследовать,1
причины,1
следствия,1
Элементом,1
заинтересованного,1
исследования,1
творчества,1
известной,1
российской,1
писательницы,1
является,1
предлагаемое,1
вам,1
какова,1
ваша,1
сверхзадача,1
